PC1,PC2,PC3
0.754990,0.033574,-0.366505
0.945719,0.038743,-0.220459
1.165525,1.456914,-0.661419
0.025743,0.138658,-1.147456
0.477543,-0.059534,-0.610690
0.508441,-0.021119,-0.551883
0.795766,-0.067731,-0.320172
-0.860985,-0.129533,-1.432412
-0.799302,-0.551225,-1.323801
-0.121093,0.863583,-0.677155
-0.547762,-0.230361,-1.426100
1.925798,-0.252889,-0.245551
-1.008432,-0.391221,-1.334575
-1.122841,-0.846262,-1.068496
1.560420,-0.161642,-1.146083
0.877201,1.999532,-0.378876
0.560958,1.968183,-0.366600
0.935399,1.971207,-0.361221
-0.002000,-0.151565,-1.226166
-0.754768,-0.845184,-1.206939
-0.596779,-1.372761,-0.811218
1.497789,1.261854,0.026731
0.864777,1.248386,0.412383
1.536901,0.821508,-0.501907
1.512761,1.383017,-0.350474
-0.269515,0.358669,-1.270191
-0.405531,0.335424,-1.339099
0.629612,-0.033775,-0.424476
1.066102,0.468651,-0.513595
0.833342,1.981786,-0.427355
-0.053914,0.353834,-1.139212
0.493281,0.785270,-0.398750
1.023466,0.028558,1.034590
-0.465408,-0.176365,-1.424108
1.448021,0.678960,0.529292
-0.717849,-1.150079,-1.018258
-0.760514,-1.125301,-1.031672
1.355034,0.547286,0.608946
1.636257,-0.243100,-1.157514
1.113008,1.753441,-0.501527
-0.197598,0.893951,-0.727297
1.707839,-0.969697,-1.158352
1.684066,-0.462888,-0.861429
0.600272,0.046669,-0.456466
-0.284115,0.181766,-1.349708
0.813434,0.540315,-0.456715
0.549142,-0.111703,-0.505361
-0.505235,0.189646,-1.392862
-0.541814,0.151956,-1.422025
-0.907967,-0.136858,-1.420721
-0.834314,-0.090877,-1.440492
1.441789,0.084813,-0.960719
1.586793,0.680917,0.370200
0.940179,0.911037,-0.615717
-1.127076,-0.532931,-1.232081
-0.935965,-0.802723,-1.181621
-1.261822,-0.218454,-1.265625
1.288338,0.650963,-0.682056
1.166576,-0.359274,-0.955721
0.995616,1.633519,-0.627710
0.925479,1.788782,-0.557612
-0.042066,0.830113,1.061070
1.406808,0.678246,0.578216
0.645000,2.019841,-0.352520
2.019960,-0.328370,-0.253826
0.740397,-0.062859,-0.354832
0.858895,0.449309,-0.426987
1.685083,0.459729,-0.353903
0.894305,1.792556,0.252013
-0.303922,0.322245,-1.304766
-0.366126,0.385138,-1.303044
0.679639,-0.034331,-0.396348
1.479678,0.663079,-0.557168
-0.761221,-0.091965,-1.450114
1.560244,-0.262557,-1.168798
-0.739786,-1.318422,-0.834464
2.180171,-0.149954,-0.238044
-0.196301,0.622446,-1.063919
-1.360348,0.398287,-1.204304
1.228942,-0.764428,-1.128818
1.475534,0.137714,-0.931150
0.663582,-0.130627,-0.377310
1.559623,0.066391,-0.955847
-0.232368,0.870143,-0.781254
1.409611,1.265549,0.118297
2.721701,-0.778917,0.011677
0.671492,2.051969,-0.325057
1.100095,0.614265,0.774351
1.061674,0.515837,-0.531173
-0.877084,-0.345084,-1.384374
-1.149643,0.183873,-1.325783
1.517520,-0.143807,-1.100352
0.945413,1.852766,-0.511364
1.085265,1.722720,-0.550563
1.558464,-0.004284,-1.022617
-0.907481,-0.470304,-1.335245
1.176833,0.598519,0.660522
-1.341439,-0.572460,-1.074927
-0.281245,-0.075934,-1.369326
-1.821317,0.804277,0.102470
-1.860221,0.752010,0.077172
0.451402,-0.217114,-0.681199
1.374385,0.420320,-0.712709
1.466352,1.168813,0.148865
1.711524,-0.310792,-1.080913
-0.756080,-0.967294,-1.144115
1.145692,1.639123,0.118513
-0.733475,-1.245355,-0.924993
-0.806314,-1.164069,-0.981165
-1.261842,-0.763502,-1.012338
1.616040,-0.277359,-1.206666
1.599173,-0.380542,-1.229773
0.501111,1.991909,-0.307049
1.040178,1.691524,-0.591376
0.651941,1.405391,-0.461351
-1.304783,-0.353516,-1.205281
0.229963,0.073251,-0.941717
0.340318,0.044028,-0.796190
1.646733,0.565631,-0.391732
-0.482700,0.309605,-1.364120
0.024513,0.424158,-1.018802
1.238973,1.251823,-0.689958
1.339674,1.315313,-0.592403
-0.592941,0.214308,-1.416323
1.682090,-0.110543,-0.940996
1.686588,-0.084257,-0.895689
-0.965804,1.495101,0.958358
-1.019974,1.469005,0.905153
2.189017,-0.079979,-0.162286
2.103699,-0.044616,-0.247993
-0.948140,-0.383185,-1.356337
-0.829921,-0.663100,-1.274285
-0.870741,-1.274372,-0.848218
1.456956,0.214693,-0.864030
1.408764,0.161795,-0.889885
-1.143912,1.210793,0.765968
2.250670,-0.336627,-0.243601
-0.661452,1.236202,-0.403691
1.656906,0.754251,0.149152
0.068304,0.498353,-0.898762
1.731311,-0.429711,-0.983133
0.863546,0.826446,0.955878
1.853915,-0.062595,-0.272373
1.799374,-0.074884,-0.250637
1.629000,0.118892,0.100941
0.914064,1.718835,-0.590918
2.271395,-0.195031,-0.163243
2.347851,-0.278382,-0.092720
-0.810420,-0.014057,-1.447165
-1.105505,-0.310516,-1.320372
-0.926977,-0.352224,-1.371423
-0.935137,-0.587789,-1.279068
-0.277928,0.849462,-0.831230
0.417913,1.944379,-0.193743
-0.700051,0.428105,-1.283887
-0.715457,0.457363,-1.262792
0.826544,1.320863,0.356055
1.515272,-0.041214,-1.070331
1.192570,-0.086608,0.338596
2.626835,-1.127350,0.095727
1.563671,1.357157,-0.081027
-0.333719,0.837982,-0.886550
-1.887982,0.707362,0.042971
-0.159095,0.860451,-0.737512
1.532477,0.680246,0.430984
-0.673383,0.511787,-1.227310
2.651102,-0.690641,-0.033190
-0.677559,-0.059645,-1.451473
-0.417406,-1.425856,-0.734567
-0.847400,-0.985076,-1.108142
-0.579108,0.703402,-1.121346
0.983133,1.523896,-0.655711
0.605639,1.951600,-0.389119
0.389013,-0.164566,-0.773482
0.117236,-0.281046,-1.128556
1.083088,1.377153,-0.729254
-0.784772,-0.328650,-1.405053
-2.061829,0.295751,-0.165118
-1.239511,0.707927,-1.096446
-0.375995,0.820255,-0.940203
-0.755195,-0.637398,-1.295242
1.063635,0.042291,0.980350
-1.104523,-0.426020,-1.281381
-1.012921,-0.609588,-1.241816
1.242387,0.252979,0.590202
1.638590,0.254898,0.218517
0.081411,-1.324629,-0.339101
0.027493,-1.341905,-0.407613
-0.157573,-0.008831,-1.318157
-0.011772,-0.011242,-1.217453
0.118899,-0.031649,-1.095606
0.544224,0.472867,-0.506364
0.655852,0.080624,-0.433302
0.165248,0.513516,-0.746634
1.555113,0.487479,-0.475832
0.777300,0.624124,-0.479764
1.613928,-0.066835,-1.019487
-0.914957,1.461095,0.923700
-0.960619,1.437217,0.873508
-0.994071,1.381169,0.834151
0.283016,-0.273925,-0.937907
1.363585,1.348608,0.084018
0.454325,-0.812555,-0.543971
-1.088191,1.335233,0.837824
-1.117107,1.282589,0.805520
-1.105372,1.255403,0.781251
2.877971,-1.597763,-0.083251
2.109465,-0.292158,-0.269569
0.469841,0.452965,-0.548562
1.382276,1.504555,-0.434556
1.601989,0.516758,-0.429104
-0.100980,0.331260,-1.182327
0.788898,1.020089,0.895241
-0.597925,0.123115,-1.441549
1.878389,-0.021371,-0.282057
0.723471,-0.118259,-0.347826
0.751782,-0.191969,-0.305642
0.809204,-0.172248,-0.280325
1.159873,0.492869,0.728589
-1.140234,-0.207308,-1.327292
-0.870112,-0.567886,-1.305802
1.334611,0.361511,-0.746676
-0.413717,0.831550,-0.942079
1.564677,-0.078623,-1.082965
-1.056087,-0.517904,-1.263330
-1.378666,-0.474803,-1.103149
1.666515,-0.334238,-1.197436
1.162370,-0.405823,-0.994004
-0.536387,0.029139,-1.440942
0.230364,-0.044152,-0.968300
-1.068141,-0.399406,-1.306130
0.017005,0.792925,-0.636564
-0.032037,0.783749,-0.690973
-0.111011,0.815430,-0.754349
-0.152738,0.811309,-0.803348
0.469019,1.971890,-0.144788
-1.773411,0.804241,0.062862
-1.809140,0.759429,0.039743
-1.846492,0.704774,-0.002002
-1.879374,0.655039,-0.052938
1.459736,0.345097,-0.741183
1.414546,0.320683,-0.781934
1.372528,0.254026,-0.818315
-0.452362,0.804252,-0.980988
0.686706,1.989084,-0.403705
1.309331,0.898839,-0.693026
-0.635846,-0.275571,-1.425609
-0.623351,-1.125195,-1.032701
1.664168,0.453103,0.227898
-0.594976,-1.301558,-0.904435
1.475010,-0.024855,-1.029784
0.542333,2.013592,-0.265622
-0.498303,-1.239726,-0.964379
-0.592620,-1.198891,-0.984000
-1.222177,-0.859053,-0.981157
0.989252,-0.194647,0.983595
0.958078,-0.257932,0.947203
1.018020,-0.100654,1.019022
1.651623,-0.395633,-1.270504
1.641508,-0.438212,-1.285966
1.462908,0.407772,-0.675285
1.518433,0.441390,-0.544333
1.582798,0.397348,-0.441156
0.509055,0.486571,-0.524136
0.458318,0.054954,-0.612534
1.113177,1.593634,-0.617092
1.288640,1.287341,-0.643025
0.389448,1.493206,0.422025
-0.671018,-1.300881,-0.883409
1.642300,0.633543,0.286240
-1.031761,1.331465,0.813573
-1.008946,1.294688,0.789894
-1.051636,1.250855,0.758325
-1.085084,1.196419,0.729279
