PC1,PC2,PC3
-0.397099,0.007849,-0.040801
-0.398098,0.032053,-0.038805
-0.397846,0.051976,-0.038232
-0.401823,0.100064,-0.074605
-0.397078,0.149601,-0.049739
-0.398937,0.144062,-0.055566
-0.404059,0.123967,-0.061820
-0.404045,0.108822,-0.056051
-0.397956,0.138507,-0.065372
-0.399744,0.127137,-0.072122
-0.402351,0.114575,-0.074650
-0.396714,0.091553,-0.088346
-0.403013,0.096704,-0.060122
-0.399741,0.084258,-0.056801
-0.399126,0.079857,-0.067603
-0.400091,0.087811,-0.077610
-0.398395,0.088128,-0.046062
-0.401692,0.114915,-0.044973
-0.403727,0.131171,-0.052106
-0.399685,0.143969,-0.043846
-0.396921,-0.011222,0.008825
-0.398983,-0.073074,-0.115181
-0.407685,-0.078641,-0.125568
-0.400593,-0.069570,-0.137626
-0.410798,-0.079814,-0.146341
-0.402114,-0.070301,-0.144892
-0.406489,-0.073944,-0.149291
-0.397505,-0.070022,-0.149641
-0.401324,-0.074143,-0.158095
-0.404961,-0.079395,-0.165545
-0.401738,-0.080537,-0.172007
-0.399961,-0.083639,-0.177057
-0.397382,-0.095477,-0.190438
-0.412559,-0.089983,-0.133193
-0.414928,-0.112689,-0.137805
-0.415696,-0.135803,-0.138466
-0.413831,-0.095044,-0.151669
-0.415270,-0.108325,-0.149370
-0.415443,-0.118301,-0.154628
-0.416240,-0.132334,-0.151496
-0.415293,-0.144779,-0.156461
-0.414490,-0.104344,-0.157717
-0.415308,-0.128410,-0.159818
-0.409807,-0.087268,-0.164173
-0.411301,-0.101288,-0.168954
-0.412615,-0.114348,-0.168786
-0.413069,-0.125892,-0.172838
-0.413843,-0.140892,-0.167970
-0.413115,-0.150756,-0.174104
-0.411170,-0.172106,-0.175897
-0.406091,-0.098391,-0.180291
-0.409782,-0.119136,-0.185111
-0.410645,-0.132221,-0.187508
-0.410266,-0.147304,-0.187019
-0.407837,-0.172058,-0.186537
-0.406283,-0.109253,-0.186436
-0.407996,-0.157365,-0.190643
-0.400938,-0.108955,-0.195443
-0.404307,-0.118440,-0.197073
-0.404599,-0.131914,-0.199630
-0.403778,-0.145155,-0.199445
-0.402857,-0.155490,-0.198912
-0.401539,-0.172319,-0.198373
-0.397271,-0.128481,-0.209233
-0.398606,-0.143447,-0.207481
-0.398342,-0.181265,-0.200493
-0.413948,-0.125595,-0.125681
-0.403241,-0.089949,-0.098067
-0.408620,-0.096329,-0.109181
-0.410915,-0.106474,-0.114785
-0.412761,-0.105711,-0.126596
-0.411169,-0.094373,-0.120430
-0.414617,-0.158433,-0.140913
-0.410135,-0.177719,-0.133240
-0.414027,-0.164322,-0.149508
-0.413599,-0.166798,-0.158999
-0.412718,-0.169430,-0.167833
-0.401041,-0.189097,-0.107025
-0.403618,-0.196344,-0.125852
-0.396607,-0.217748,-0.126220
-0.410524,-0.184652,-0.151497
-0.404304,-0.202654,-0.146131
-0.396455,-0.221438,-0.136210
-0.400966,-0.212325,-0.149809
-0.407979,-0.190120,-0.169022
-0.400862,-0.209381,-0.163812
-0.403393,-0.191468,-0.182548
-0.396868,-0.211418,-0.174153
-0.398730,-0.199719,-0.184207
-0.396423,-0.180176,-0.090184
-0.400074,-0.180635,-0.098594
-0.396909,-0.149903,-0.077849
-0.400458,-0.158859,-0.089869
-0.404690,-0.165227,-0.104113
-0.397888,-0.123458,-0.075117
-0.408197,-0.169239,-0.115725
-0.408345,-0.176412,-0.121786
-0.402553,-0.132446,-0.087568
-0.405869,-0.141683,-0.099763
-0.410067,-0.145092,-0.113634
-0.411051,-0.153211,-0.119518
-0.413294,-0.155992,-0.129099
-0.401888,-0.106162,-0.085769
-0.405459,-0.117655,-0.093475
-0.409909,-0.124282,-0.110384
-0.407110,-0.110739,-0.099293
-0.412696,-0.128327,-0.119930
-0.397057,-0.088931,-0.083071
-0.382832,0.054083,0.055758
-0.383318,-0.006849,-0.026152
-0.388696,-0.013663,-0.033417
-0.389112,-0.023391,-0.037408
-0.383281,0.016256,-0.023634
-0.391761,0.010735,-0.033375
-0.383237,0.043287,-0.021221
-0.391836,0.037956,-0.030875
-0.382108,0.065704,-0.019148
-0.391309,0.062173,-0.029724
-0.377761,0.085614,-0.015111
-0.385418,0.080940,-0.024646
-0.385048,0.084697,-0.031935
-0.391178,0.073899,-0.040786
-0.378085,0.094233,-0.023645
-0.382619,0.161083,-0.049620
-0.388301,0.151958,-0.058853
-0.393196,0.144088,-0.065460
-0.380664,0.152853,-0.067417
-0.386193,0.144706,-0.075095
-0.389534,0.138774,-0.079220
-0.392305,0.129226,-0.082801
-0.394574,0.115966,-0.085945
-0.396144,0.105106,-0.088228
-0.377059,0.140185,-0.083115
-0.381752,0.126616,-0.090753
-0.386070,0.115084,-0.093916
-0.386611,0.105014,-0.096510
-0.376244,0.107159,-0.103808
