PC1,PC2,PC3
-2.035842,0.054968,-0.163172
-2.039665,0.177067,-0.144721
-2.037319,0.277880,-0.135113
-2.056277,0.534238,-0.304709
-2.028705,0.776827,-0.161340
-2.038673,0.750786,-0.192811
-2.066132,0.651173,-0.230985
-2.066678,0.572406,-0.206551
-2.034211,0.725919,-0.244994
-2.044152,0.670623,-0.283137
-2.058238,0.607860,-0.300004
-2.030912,0.495576,-0.378485
-2.062140,0.512327,-0.231572
-2.045901,0.447980,-0.219132
-2.043284,0.429295,-0.275952
-2.048113,0.473078,-0.324396
-2.038490,0.463886,-0.162997
-2.053981,0.599473,-0.148070
-2.063782,0.684389,-0.178887
-2.042179,0.746348,-0.132779
-2.034472,-0.058619,0.084415
-2.051781,-0.330072,-0.570837
-2.096949,-0.354491,-0.624893
-2.060477,-0.304630,-0.684340
-2.113548,-0.353281,-0.731237
-2.068520,-0.305826,-0.721610
-2.091237,-0.322660,-0.744858
-2.045021,-0.302945,-0.746368
-2.065040,-0.320845,-0.790588
-2.084154,-0.344827,-0.830055
-2.067896,-0.348545,-0.863875
-2.059097,-0.362601,-0.890981
-2.046866,-0.418179,-0.963727
-2.122737,-0.409247,-0.667169
-2.136143,-0.522761,-0.698123
-2.141318,-0.639718,-0.709180
-2.130021,-0.428606,-0.763299
-2.138019,-0.496684,-0.755816
-2.139562,-0.545488,-0.786057
-2.144292,-0.617671,-0.774640
-2.140215,-0.679151,-0.804339
-2.134068,-0.473683,-0.797296
-2.139540,-0.594975,-0.816031
-2.109361,-0.385061,-0.825142
-2.117863,-0.454481,-0.854141
-2.125271,-0.520737,-0.857530
-2.128316,-0.577865,-0.882078
-2.132913,-0.655565,-0.862099
-2.129851,-0.703540,-0.896910
-2.121062,-0.811243,-0.913470
-2.091345,-0.436110,-0.911786
-2.111482,-0.539537,-0.943008
-2.116630,-0.605075,-0.959580
-2.115449,-0.681736,-0.962180
-2.104272,-0.807518,-0.968281
-2.093079,-0.489105,-0.946865
-2.104434,-0.731593,-0.984347
-2.065926,-0.484705,-0.993477
-2.083725,-0.532134,-1.004631
-2.085999,-0.599590,-1.022193
-2.082450,-0.666828,-1.025794
-2.078257,-0.719437,-1.026641
-2.072350,-0.805014,-1.029659
-2.048547,-0.579148,-1.071026
-2.056094,-0.655585,-1.066919
-2.056475,-0.849768,-1.043873
-2.131441,-0.592356,-0.640510
-2.073978,-0.421330,-0.488415
-2.102175,-0.449710,-0.546832
-2.114616,-0.499197,-0.578654
-2.124377,-0.491263,-0.638651
-2.115466,-0.435912,-0.603471
-2.136993,-0.753691,-0.729430
-2.114824,-0.854233,-0.697127
-2.134543,-0.780643,-0.775456
-2.132729,-0.790006,-0.824910
-2.128606,-0.800387,-0.871110
-2.068031,-0.921154,-0.567782
-2.082158,-0.951409,-0.666307
-2.047351,-1.060053,-0.676165
-2.117688,-0.883172,-0.792863
-2.086569,-0.976507,-0.772141
-2.047027,-1.075401,-0.728551
-2.070065,-1.024423,-0.794594
-2.105415,-0.905045,-0.884675
-2.069799,-1.004718,-0.865282
-2.082366,-0.907417,-0.954887
-2.049717,-1.011656,-0.919350
-2.058959,-0.948862,-0.966676
-2.043434,-0.881793,-0.479110
-2.062404,-0.881119,-0.521902
-2.044016,-0.732452,-0.405776
-2.063005,-0.773651,-0.469887
-2.085428,-0.800981,-0.544451
-2.047606,-0.599222,-0.382799
-2.103942,-0.817270,-0.604849
-2.105234,-0.851567,-0.638266
-2.072311,-0.640417,-0.449022
-2.090145,-0.683016,-0.514160
-2.112229,-0.695448,-0.585829
-2.117848,-0.734604,-0.618561
-2.129768,-0.745360,-0.668275
-2.067524,-0.507760,-0.431057
-2.086621,-0.563324,-0.473950
-2.110254,-0.591020,-0.562235
-2.094902,-0.526208,-0.501222
-2.125021,-0.608209,-0.612139
-2.041789,-0.421478,-0.412015
-1.957599,0.256158,0.344974
-1.965548,-0.024990,-0.094671
-1.993683,-0.056900,-0.133546
-1.996410,-0.104874,-0.157180
-1.964110,0.091321,-0.074039
-2.008107,0.066884,-0.124799
-1.962409,0.227568,-0.052614
-2.007030,0.204096,-0.102854
-1.955409,0.340498,-0.034603
-2.003040,0.326493,-0.088885
-1.932001,0.439945,-0.007767
-1.971752,0.419728,-0.057267
-1.969866,0.441246,-0.093353
-2.002087,0.389693,-0.141595
-1.933464,0.486570,-0.048495
-1.954012,0.834540,-0.158509
-1.983871,0.791596,-0.208189
-2.009541,0.754098,-0.244103
-1.944919,0.798797,-0.252572
-1.973876,0.760261,-0.293996
-1.991433,0.731711,-0.316718
-2.006222,0.684585,-0.337942
-2.018629,0.618505,-0.358242
-2.027287,0.564244,-0.373389
-1.927531,0.739761,-0.337584
-1.952512,0.673708,-0.380707
-1.975335,0.616451,-0.400294
-1.978687,0.566296,-0.416877
-1.925655,0.579296,-0.454677
-2.019348,0.357165,-0.204021
-1.987992,0.266851,-0.159231
-2.020257,0.412466,-0.378020
-2.002022,0.295828,-0.381283
-1.987956,0.496599,-0.434420
-1.993155,0.438417,-0.445988
-1.993640,0.384579,-0.456991
-1.992632,0.303049,-0.446246
-1.980940,0.262959,-0.473848
-1.943204,0.502989,-0.482094
-1.965986,0.450511,-0.488476
-1.963655,0.409173,-0.518058
-1.972175,0.343431,-0.530336
-1.967456,0.274587,-0.532089
-1.937393,0.431071,-0.573993
-1.948521,0.366298,-0.604091
-1.953354,0.284806,-0.589040
-1.931104,0.400655,-0.670844
-1.931286,0.330398,-0.683050
-2.015940,0.322584,-0.279312
-1.997187,-0.290065,-0.428433
-2.030127,-0.367246,-0.458190
-2.004114,-0.306090,-0.522927
-1.971088,-0.259351,-0.585241
-2.008786,-0.291798,-0.637227
-1.949088,-0.243446,-0.657411
-1.964212,-0.282186,-0.688113
-2.008402,-0.299832,-0.738240
-1.963628,-0.307622,-0.784115
-2.004460,-0.323553,-0.837477
-2.036354,-0.325748,-0.833671
-1.960741,-0.339267,-0.878075
-2.011588,-0.360539,-0.928467
-1.952810,-0.385210,-0.967178
-1.996270,-0.423990,-1.012066
-2.025632,-0.484939,-1.045239
-1.951523,-0.444646,-1.040432
-1.984126,-0.486597,-1.074872
-1.975712,-0.514235,-1.094578
